Source length: 380000 characters
Candidate length: 403000 characters
Similarity rate: 0.94
         4133041 function calls (4133029 primitive calls) in 0.716 seconds

   Ordered by: internal time
   List reduced from 23 to 12 due to restriction <12>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   742000    0.207    0.000    0.293    0.000 main.py:28(<genexpr>)
        1    0.112    0.112    0.716    0.716 main.py:34(similarity_rate)
   742002    0.107    0.000    0.161    0.000 main.py:20(<genexpr>)
  1483996    0.086    0.000    0.086    0.000 {built-in method builtins.ord}
        2    0.066    0.033    0.227    0.114 {method 'join' of 'str' objects}
   783000    0.054    0.000    0.054    0.000 {method 'isalnum' of 'str' objects}
        1    0.043    0.043    0.181    0.181 {built-in method _collections._count_elements}
   381999    0.037    0.000    0.037    0.000 {method 'get' of 'dict' objects}
        2    0.003    0.002    0.003    0.002 {method 'casefold' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method unicodedata.normalize}
        2    0.000    0.000    0.232    0.116 main.py:17(normalize_text)
      7/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}



